議員氏名,読み方,議員氏名(本名),性別,会派(最終),選挙回次等,選挙区(最終),備考,西暦
大泉  寛三,おおいずみ かんぞう,,男,自由民主党,第4回(昭31)補欠(昭35.11.20),埼玉県,,1956
大江  康広,おおえ やすひろ,,男,自由民主党・無所属の会,第19回(平13)、第21回(平19)、辞職(平25.5.22),比例代表,,2001-2007
大川  清幸,おおかわ せいこう,,男,公明党・国民会議,第12回(昭55),全国,,1980
大川  光三,おおかわ みつぞう,,男,自由民主党,第3回(昭28)補欠(昭32.4.23)、退職[公選90](昭34.4.5)、第4回(昭31)補欠(昭34.4.30),大阪府,,1953-1956
大河原 一次,おおかわら いちじ,,男,日本社会党,第4回(昭31)、第6回(昭37),福島県,,1956-1962
大河原太一郎,おおかわら たいちろう,,男,自由民主党,第12回(昭55)、第14回(昭61)、第16回(平4),比例代表,,1980-1986-1992
大河原 雅子,おおかわら まさこ,,女,民主党・新緑風会,第21回(平19),東京都,,2007
大木  正吾,おおき しょうご,,男,日本社会党・護憲共同,第11回(昭52)、第13回(昭58),比例代表,,1977-1983
扇   千景,おおぎ ちかげ,林 寛子,女,各会派に属しない議員,第11回(昭52)、第13回(昭58)、第15回(平元)繰上(平5.7.16)、第17回(平7)、第19回(平13),比例代表,議長(第26代),1977-1983-1989-1995-2001
大木   浩,おおき ひろし,,男,自由民主党,第12回(昭55)、第14回(昭61)、第16回(平4),愛知県,,1980-1986-1992
大久保  勉,おおくぼ つとむ,,男,民進党・新緑風会,第20回(平16)、第22回(平22),福岡県,,2004-2010
大久保 直彦,おおくぼ なおひこ,,男,公明,第16回(平4),比例代表,,1992
大久保 潔重,おおくぼ ゆきしげ,,男,民主党・新緑風会,第21回(平19),長崎県,,2007
大隈  信幸,おおくま のぶゆき,,男,民主クラブ,第1回(昭22)、辞職(昭28.4.14),全国,,1947
大倉  精一,おおくら せいいち,,男,各派に属しない議員,第3回(昭28)、退職[選挙無効](昭29.9.24)、第3回(昭28)再選挙(昭29.10.17)、第5回(昭34)、第7回(昭40),全国,,1953-1953-1959-1965
大沢  辰美,おおさわ たつみ,,女,日本共産党,第18回(平10),兵庫県,,1998
大沢  雄一,おおさわ ゆういち,,男,自由民主党,第4回(昭31)、辞職(昭35.10.22),埼玉県,,1956
大島 九州男,おおしま くすお,,男,国民民主党・新緑風会,第21回(平19)、第23回(平25),比例代表,,2007-2013
大島  定吉,おおしま さだきち,,男,自由党,第1回(昭22),栃木県,,1947
大島  友治,おおしま ともじ,,男,自由民主党,第10回(昭49)、第12回(昭55)、第14回(昭61),栃木県,,1974-1980-1986
大島  慶久,おおしま よしひさ,,男,自由民主党,第14回(昭61)補欠(平2.11.4)、第16回(平4)、第18回(平10),比例代表,,1986-1992-1998
大城  眞順,おおしろ しんじゅん,,男,自由民主党,第12回(昭55)補欠(昭57.11.14)、第14回(昭61),沖縄県,,1980-1986
大田  昌秀,おおた まさひで,,男,社会民主党・護憲連合,第19回(平13),比例代表,,2001
太田  淳夫,おおた あつお,,男,公明党・国民会議,第10回(昭49)、第12回(昭55)、第14回(昭61),比例代表,,1974-1980-1986
太田  豊秋,おおた とよあき,,男,自由民主党,第15回(平元)補欠(平5.7.18)、第17回(平7)、第19回(平13),福島県,,1989-1995-2001
太田  敏兄,おおた びんけい,,男,各派に属しない議員,第1回(昭22)[3年任期],岡山県,,1947
太田  正孝,おおた まさたか,,男,自由民主党,第5回(昭34),静岡県,,1959
大鷹  淑子,おおたか よしこ,,女,自由民主党・自由国民会議,第10回(昭49)、第12回(昭55)、第14回(昭61),比例代表,,1974-1980-1986
大竹 平八郎,おおたけ へいはちろう,,男,自由民主党,第4回(昭31)、第6回(昭37)、第8回(昭43),全国,,1956-1962-1968
大達  茂雄,おおだち しげお,,男,自由党,第3回(昭28)、逝去(昭30.9.25),島根県,,1953
大谷  瑩潤,おおたに えいじゅん,,男,参議院同志会,第2回(昭25)、第4回(昭31),全国,,1950-1956
大谷 藤之助,おおたに とうのすけ,,男,自由民主党・自由国民会議,第4回(昭31)、第6回(昭37)、第8回(昭43)、第10回(昭49),全国,,1956-1962-1968-1974
大谷  贇雄,おおたに よしお,,男,自由民主党,第3回(昭28)、退職[選挙無効](昭29.9.24)、第3回(昭28)再選挙(昭29.10.17)、第5回(昭34)、第7回(昭40)、逝去(昭45.12.23),全国,,1953-1953-1959-1965
大塚 清次郎,おおつか せいじろう,,男,自由民主党・自由国民会議,第14回(昭61)、第16回(平4)、逝去(平7.10.3),佐賀県,,1986-1992
大塚   喬,おおつか たかし,,男,日本社会党,第10回(昭49),栃木県,,1974
大坪 健一郎,おおつぼ けんいちろう,,男,自由民主党・自由国民会議,第11回(昭52)補欠(昭57.1.10)、第13回(昭58)、辞職(昭61.6.19),佐賀県,,1977-1983
大西 十寸男,おおにし としお,,男,無所属懇談会,第1回(昭22)[3年任期]、逝去(昭22.7.29),全国,,1947
大仁田  厚,おおにた あつし,,男,自由民主党,第19回(平13),比例代表,,2001
大沼 みずほ,おおぬま みずほ,亀   瑞穂,女,自由民主党・国民の声,第23回(平25),山形県,,2013
大野   明,おおの あきら,,男,自由民主党・自由国民会議,第17回(平7)、逝去(平8.2.5),岐阜県,,1995
大野  幸一,おおの こういち,,男,日本社会党(第二控室)〔右〕,第1回(昭22),全国,,1947
大野  つや子,おおの つやこ,,女,自由民主党,第17回(平7)補欠(平8.3.24)、第19回(平13),岐阜県,,1995-2001
大野  元裕,おおの もとひろ,,男,国民民主党・新緑風会,第22回(22)、辞職(令元.8.5),埼玉県,,
大野木秀次郎,おおのぎ ひでじろう,,男,自由民主党,第1回(昭22)[3年任期]、第2回(昭25)、第4回(昭31)、第6回(昭37)、逝去(昭41.3.4),京都府,,1947-1950-1956-1962
大橋  巨泉,おおはし きょせん,大橋  克巳,男,民主党・新緑風会,第19回(平13)、辞職(平14.1.31),比例代表,,2001
大橋  和孝,おおはし かずたか,,男,日本社会党,第7回(昭40)、第9回(昭46)、退職[公選90](昭49.3.13),京都府,,1965-1971
大畠 農夫雄,おおはた のぶお,,男,日本社会党,第1回(昭22)[3年任期],茨城県,,1947
大浜  方栄,おおはま ほうえい,,男,自由民主党,第13回(昭58)、第15回(平元),比例代表,,1983-1989
大渕  絹子,おおふち きぬこ,,女,民主党・新緑風会,第14回(昭61)補欠(平元.6.25)、第16回(平4)、第18回(平10),新潟県,,1986-1992-1998
合馬   敬,おおま けい,,男,自由民主党・自由国民会議,第15回(平元),福岡県,,1989
大森   昭,おおもり あきら,,男,日本社会党・護憲連合,第11回(昭52)、第13回(昭58)、第15回(平元),比例代表,,1977-1983-1989
大森  創造,おおもり そうぞう,,男,日本社会党,第5回(昭34)、第7回(昭40),茨城県,,1959-1965
大森  久司,おおもり ひさじ,,男,自由民主党,第7回(昭40)、第9回(昭46)、逝去(昭51.8.13),奈良県,,1965-1971
大森  礼子,おおもり れいこ,,女,公明党,第17回(平7),比例代表,,1995
大屋  晋三,おおや しんぞう,,男,自由民主党,第1回(昭22)[3年任期]、第2回(昭25),大阪府,,1947-1950
大矢   正,おおや ただし,,男,日本社会党,第4回(昭31)、第6回(昭37)、第8回(昭43),北海道,,1956-1962-1968
大矢 半次郎,おおや はんじろう,,男,自由党,第2回(昭25),全国,,1950
大山  郁夫,おおやま いくお,,男,無所属クラブ,第2回(昭25)、逝去(昭30.11.30),京都府,,1950
大山   安,おおやま やすし,,男,緑風会,第1回(昭22)[3年任期],全国,,1947
大脇  雅子,おおわき まさこ,,女,民主党・新緑風会,第16回(平4)、第18回(平10),比例代表,,1992-1998
岡   三郎,おか さぶろう,,男,日本社会党,第3回(昭28)、第5回(昭34)、第7回(昭40),神奈川県,,1953-1959-1965
岡   利定,おか としさだ,,男,自由民主党・保守党,第16回(平4)、第18回(平10)、逝去(平12.10.2),比例代表,,1992-1998
小笠  公韶,おがさ こうしょう,,男,自由民主党,第9回(昭46),徳島県,,1971
岡崎  真一,おかざき しんいち,,男,自由民主党,第1回(昭22)補欠(昭25.1.12)、第3回(昭28)、第5回(昭34),兵庫県,,1947-1953-1959
岡崎  トミ子,おかざき とみこ,,女,民主党・新緑風会,第17回(平9)補欠(平9.11.16)、第19回(平13)、第21回(平19),宮城県,,1997-2001-2007
小笠原 貞子,おがさわら さだこ,,女,日本共産党,第8回(昭43)、第10回(昭49)、第12回(昭55)、第14回(昭61),北海道,,1968-1974-1980-1986
小笠原二三男,おがさわら ふみお,,男,日本社会党,第2回(昭25)、第4回(昭31),全国,,1950-1956
岡田 喜久治,おかだ きくじ,,男,自由党,第1回(昭22)[3年任期]補欠(昭22.8.15),栃木県,,1947
岡田  信次,おかだ しんじ,,男,自由民主党,第2回(昭25),全国,,1950
岡田  宗司,おかだ そうじ,,男,各派に属しない議員,第1回(昭22)、第3回(昭28)、第6回(昭37),東京都,,1947-1953-1962
岡田   広,おかだ ひろし,,男,自由民主党・自由国民会議,第10回(昭49)、第12回(昭55)、第14回(昭61),比例代表,,1974-1980-1986
岡田   広,おかだ ひろし,,男,自由民主党・国民の声,第18回(平10)補、第20回(平16)、第22回(平22)、第24回(平28),茨城県,,1998-2004-2010-2016
緒方  靖夫,おがた やすお,,男,日本共産党,第17回(平7)、第19回(平13),東京都,,1995-2001
尾形六郎兵衞,おがた ろくろべえ,,男,自由党,第1回(昭22)[3年任期],山形県,,1947
岡野   裕,おかの ゆたか,,男,自由民主党・保守党,第13回(昭58)、第15回(平元)、第17回(平7),比例代表,,1983-1989-1995
岡部  三郎,おかべ さぶろう,,男,自由民主党,第12回(昭55)、第14回(昭61)、第16回(平4),比例代表,,1980-1986-1992
岡部   常,おかべ つね,,男,緑風会,第1回(昭22),全国,,1947
岡村 文四郎,おかむら ぶんしろう,,男,自由民主党,第1回(昭22)、第5回(昭34)、第7回(昭40)、逝去(昭43.10.20),全国,,1947-1959-1965
岡本  愛祐,おかもと あいすけ,,男,緑風会,第1回(昭22),全国,,1947
岡本   悟,おかもと さとる,,男,自由民主党,第7回(昭40)、第9回(昭46),全国,,1965-1971
岡元  義人,おかもと よしと,,男,緑風会,第1回(昭22)[3年任期]補欠(昭22.8.15),鹿児島県,,1947
小川  克巳,おがわ かつみ,,男,自由民主党・国民の声,第24回(平28),比例代表,,2016
小川  勝也,おがわ かつや,,男,立憲民主党・民友会・希望の会,第17回(平7)、第19回(平13)、第21回(平19)、第23回(平25),北海道,,1995-2001-2007-2013
小川  仁一,おがわ じんいち,,男,社会民主党・護憲民主連合,第13回(昭58)補欠(昭62.3.8)、第15回(平元),岩手県,,1983-1989
小川  敏夫,おがわ としお,,男,各派に属しない議員,第18回(平10)、第20回(平16)、第22回(平22)、第24回(平28),東京都,副議長(第32代),1998-2004-2010-2016
小川  友三,おがわ ともぞう,,男,各派に属しない議員,第1回(昭22)[3年任期]、除名(昭25.4.7),全国,,1947
小川  半次,おがわ はんじ,,男,自由民主党,第9回(昭46)補欠(昭49.4.21),京都府,,1971
小川  久義,おがわ ひさよし,,男,自由党,第1回(昭22)[3年任期]、第2回(昭25)[3年任期],全国,,1947-1950
沖   外夫,おき そとお,,男,自由民主党・自由国民会議,第12回(昭55)補欠(昭57.12.26)、逝去(昭61.6.28),富山県,,1980
荻原  健司,おぎわら けんじ,,男,自由民主党,第20回(平16),比例代表,,2004
奧  主一郎,おく しゅいちろう,,男,国民民主党,第1回(昭22)[3年任期],京都府,,1947
奥  むめお,おく むめお,,女,緑風会,第1回(昭22)、第3回(昭28)、第5回(昭34),全国,,1947-1953-1959
小串  清一,おぐし せいいち,,男,自由党,第1回(昭22),神奈川県,,1947
小熊  慎司,おぐま しんじ,,男,みんなの党,第22回(平22)、退職[公選90](平24.12.4),比例代表,,2010
奥村  悦造,おくむら えつぞう,,男,自由民主党,第7回(昭40),滋賀県,,1965
奥村  展三,おくむら てんぞう,,男,参議院クラブ,第17回(平7)、辞職(平12.6.2),滋賀県,,1995
尾崎  行輝,おざき ゆきてる,,男,緑風会,第1回(昭22),全国,,1947
長田  裕二,おさだ ゆうじ,,男,各派に属しない議員,第8回(昭43)、第10回(昭49)、第12回(昭55)、第14回(昭61),比例代表,議長(第19代),1968-1974-1980-1986
小沢 久太郎,おざわ きゅうたろう,,男,自由民主党,第3回(昭28)、第5回(昭34)、第7回(昭40)、逝去(昭42.9.18),千葉県,,1953-1959-1965
小澤  太郎,おざわ たろう,,男,自由民主党・自由国民会議,第11回(昭52),山口県,,1977
尾立  源幸,おだち もとゆき,,男,民進党・新緑風会,第20回(平16)、第22回(平22),大阪府,,2004-2010
尾辻  かな子,おつじ かなこ,,女,民主党・新緑風会,第21回(平19)繰上(平25.5.23),比例代表,,2007
鬼木  勝利,おにき かつとし,,男,公明党,第6回(昭37),全国,,1962
鬼丸  勝之,おにまる かつゆき,,男,自由民主党,第6回(昭37)補欠(昭42.4.30)、第8回(昭43),福岡県,,1962-1968
鬼丸  義齊,おにまる ぎさい,,男,改進党,第1回(昭22),全国,,1947
小野  清子,おの きよこ,,女,自由民主党,第14回(昭61)、第16回(平4)、第19回(平13),比例代表,,1986-1992-2001
小野   明,おの あきら,,男,各派に属しない議員,第7回(昭40)、第9回(昭46)、第11回(昭52)、第13回(昭58)、第15回(平元)、逝去(平2.4.19),福岡県,副議長(第19代),1965-1971-1977-1983-1989
小野   哲,おの あきら,,男,緑風会,第1回(昭22),千葉県,,1947
小野  光洋,おの こうよう,,男,自由党,第1回(昭22)[3年任期],全国,,1947
小野  次郎,おの じろう,,男,民進党・新緑風会,第22回(平22),比例代表,,2010
小野  義夫,おの よしお,,男,自由民主党,第2回(昭25)、第4回(昭31)、逝去(昭31.10.13),全国,,1950-1956
小幡  治和,おばた はるかず,,男,自由民主党,第2回(昭25)補欠(昭30.3.10)、第4回(昭31),福井県,,1950-1956
大隅  憲二,おおすみ けんじ,,男,自由党,第1回(昭22)[3年任期],神奈川県,,1947
尾山  三郎,おやま さぶろう,,男,自由党,第2回(昭25)、逝去(昭26.10.3),富山県,,1950
